file name, index, score
lima, 368, 0.017192
lima, 119, 0.017042
lima, 219, 0.016879
lima, 70, 0.016871
lima, 216, 0.016816
lima, 702, 0.016708
lima, 360, 0.016694
lima, 125, 0.016612
lima, 171, 0.01659
lima, 123, 0.016272
lima, 963, 0.016105
lima, 810, 0.016082
lima, 278, 0.015986
lima, 64, 0.015639
lima, 609, 0.015607
lima, 109, 0.015583
lima, 6, 0.015533
lima, 54, 0.015456
lima, 236, 0.015433
lima, 504, 0.015407
lima, 610, 0.015388
lima, 230, 0.015346
lima, 680, 0.015283
lima, 637, 0.015271
lima, 483, 0.015243
lima, 391, 0.01516
lima, 280, 0.014941
lima, 139, 0.014924
lima, 309, 0.014917
lima, 658, 0.01487
lima, 921, 0.014696
lima, 1017, 0.014666
lima, 246, 0.014654
lima, 906, 0.014557
lima, 798, 0.014551
lima, 1019, 0.01455
lima, 687, 0.014296
lima, 75, 0.014192
lima, 703, 0.014166
lima, 77, 0.014139
lima, 196, 0.014062
lima, 857, 0.014058
lima, 384, 0.014017
lima, 403, 0.014003
lima, 612, 0.013596
lima, 821, 0.013542
lima, 22, 0.013535
lima, 800, 0.013505
lima, 758, 0.013448
lima, 388, 0.013413
lima, 756, 0.013272
lima, 622, 0.013251
lima, 964, 0.013116
lima, 569, 0.013069
lima, 320, 0.012991
lima, 336, 0.012988
lima, 261, 0.01298
lima, 982, 0.012933
lima, 255, 0.012893
lima, 792, 0.012849
lima, 740, 0.012614
lima, 458, 0.012502
lima, 150, 0.012443
lima, 733, 0.012331
lima, 960, 0.012317
lima, 469, 0.012293
lima, 496, 0.012191
lima, 974, 0.011832
lima, 161, 0.011686
lima, 669, 0.011357
lima, 476, 0.011333
lima, 863, 0.011233
lima, 172, 0.010836
lima, 769, 0.010702
lima, 638, 0.010594
lima, 1001, 0.010594
lima, 624, 0.010592
lima, 134, 0.010478
lima, 628, 0.01029
lima, 248, 0.009771
lima, 608, 0.009655
lima, 615, 0.009564
lima, 205, 0.009191
lima, 137, 0.008898
lima, 875, 0.008837
lima, 237, 0.008458
lima, 913, 0.008396
lima, 499, 0.008368
lima, 833, 0.008128
lima, 356, 0.008082
lima, 715, 0.007597
lima, 319, 0.007417
lima, 87, 0.00724
lima, 173, 0.007091
lima, 453, 0.006982
lima, 194, 0.006632
lima, 373, 0.006506
lima, 315, 0.005738
lima, 327, 0.005366
lima, 223, 0.004971
lima, 605, 0.004896
lima, 539, 0.004763
lima, 1015, 0.004609
lima, 750, 0.004585
lima, 7, 0.00425
lima, 920, 0.004037
lima, 11, 0.003837
lima, 127, 0.003835
lima, 909, 0.003429
lima, 313, 0.003365
lima, 438, 0.00282
lima, 226, 0.002749
lima, 397, 0.001979
lima, 314, 0.001221
lima, 664, 0.000908
lima, 447, 0.000721
lima, 174, 0.000201
lima, 1016, 9e-06
lima, 764, -5e-05
lima, 124, -0.00025
lima, 272, -0.00083
lima, 35, -0.001599
lima, 63, -0.002541
lima, 101, -0.004028
lima, 333, -0.004473
lima, 400, -0.007638
